Symbol,TF,Time,Type,Direction,Entry,SL,TP Level Hit,Max RR,Risk Pips
USDJPY,M15,2025-07-01 01:45:00,Weak Bearish,SELL,143.978,144.176,TP1,1.07,19.8
USDJPY,M15,2025-07-01 11:00:00,Weak Bearish,SELL,143.636,143.832,TP1,1.09,19.6
USDJPY,M15,2025-07-02 00:00:00,Strong Bullish,BUY,143.729,143.593,SL,0.39,13.6
USDJPY,M15,2025-07-02 00:15:00,Weak Bullish,BUY,143.755,143.614,SL,0.19,14.1
USDJPY,M15,2025-07-02 08:15:00,Weak Bearish,SELL,143.563,143.738,SL,0.63,17.5
USDJPY,M15,2025-07-02 11:00:00,Strong Bullish,BUY,143.683,143.538,TP1,1.12,14.5
USDJPY,M15,2025-07-02 22:00:00,Weak Bearish,SELL,143.697,143.818,TP1,1.04,12.1
GBPJPY,M15,2025-07-01 01:45:00,Weak Bearish,SELL,197.667,197.825,TP1,2.44,15.8
GBPJPY,M15,2025-07-01 05:00:00,Weak Bearish,SELL,197.503,197.64,TP1,1.9,13.7
GBPJPY,M15,2025-07-01 10:00:00,Weak Bullish,BUY,197.717,197.565,SL,0.02,15.2
GBPJPY,M15,2025-07-02 00:15:00,Weak Bullish,BUY,197.454,197.264,SL,0.47,19.0
GBPJPY,M15,2025-07-02 17:00:00,Strong Bullish,BUY,197.307,197.111,SL,0.69,19.6
GBPJPY,M15,2025-07-02 22:45:00,Weak Bullish,BUY,195.927,195.739,SL,0.43,18.8
EURJPY,M15,2025-06-30 23:45:00,Strong Bullish,BUY,169.735,169.601,SL,0.9,13.4
EURJPY,M15,2025-07-01 05:00:00,Weak Bearish,SELL,169.527,169.633,TP1,1.98,10.6
EURJPY,M15,2025-07-01 05:45:00,Strong Bearish,SELL,169.434,169.566,TP1,1.17,13.2
EURJPY,M15,2025-07-01 23:00:00,Weak Bullish,BUY,169.18,169.028,TP1,1.08,15.2
EURJPY,M15,2025-07-01 23:45:00,Weak Bullish,BUY,169.249,169.168,TP1,1.17,8.1
EURJPY,M15,2025-07-02 00:15:00,Weak Bullish,BUY,169.294,169.218,TP1,1.2,7.6
EURJPY,M15,2025-07-02 03:00:00,Weak Bearish,SELL,169.175,169.325,SL,0.0,15.0
EURJPY,M15,2025-07-02 11:00:00,Strong Bullish,BUY,169.445,169.33,SL,0.72,11.5
EURJPY,M15,2025-07-02 13:00:00,Strong Bullish,BUY,169.513,169.36,SL,0.74,15.3
EURJPY,H1,2025-07-02 06:45:00,Strong Bullish,BUY,169.41,169.21,TP1,1.08,20.0
CADJPY,M15,2025-07-01 01:45:00,Weak Bearish,SELL,105.671,105.798,SL,0.13,12.7
CADJPY,M15,2025-07-01 05:45:00,Strong Bearish,SELL,105.58,105.741,TP1,1.16,16.1
CADJPY,M15,2025-07-01 06:00:00,Weak Bearish,SELL,105.576,105.741,TP1,1.11,16.5
CADJPY,M15,2025-07-01 06:45:00,Strong Bearish,SELL,105.47,105.628,SL,0.49,15.8
CADJPY,M15,2025-07-01 09:30:00,Weak Bullish,BUY,105.692,105.534,SL,0.34,15.8
CADJPY,M15,2025-07-01 09:45:00,Weak Bullish,BUY,105.711,105.575,SL,0.25,13.6
CADJPY,M15,2025-07-01 10:30:00,Strong Bearish,SELL,105.629,105.745,TP1,1.14,11.6
CADJPY,M15,2025-07-01 10:45:00,Weak Bearish,SELL,105.575,105.733,TP1,1.11,15.8
CADJPY,M15,2025-07-01 11:00:00,Weak Bearish,SELL,105.566,105.69,TP1,1.35,12.4
CADJPY,M15,2025-07-01 15:15:00,Weak Bearish,SELL,105.066,105.225,TP1,1.28,15.9
CADJPY,M15,2025-07-01 17:30:00,Weak Bearish,SELL,104.88,105.038,SL,0.34,15.8
CADJPY,M15,2025-07-02 01:15:00,Strong Bullish,BUY,105.312,105.151,SL,0.19,16.1
CADJPY,M15,2025-07-02 04:00:00,Strong Bullish,BUY,105.085,105.01,TP1,2.05,7.5
CADJPY,M15,2025-07-02 10:15:00,Strong Bullish,BUY,105.199,105.116,TP1,1.01,8.3
CADJPY,M15,2025-07-02 11:00:00,Strong Bullish,BUY,105.243,105.175,TP1,1.56,6.8
